calibration_bias,seed,terminal_pnl,fill_count,spread_capture,adverse_selection,settlement_noise,identity_error,as_INFORMED,as_VALUE,as_NOISE
-0.08,12,-469.2412788555392,940,16.631671557556956,-53.94249260869138,-431.930457804405,2.8421709430404007e-13,-34.74125949830774,-19.805421309289667,0.6041881989060243
-0.08,13,237.71598322981816,1060,20.33140872105537,-71.20787726845722,288.59245177722005,2.842170943040401e-14,-44.49077325002999,-28.030105751497324,1.3130017330700912
-0.08,14,-250.984290160297,1083,21.660000000000018,-71.19803300322741,-201.44625715706982,1.9895196601282805e-13,-45.083171342316504,-27.395029344352878,1.2801676834419633
-0.08,15,276.02047182460666,949,17.66671975345781,-59.438780713098154,317.792532784249,1.9895196601282805e-12,-35.71836159065789,-22.39143827866831,-1.3289808437719501
-0.08,16,-576.3165943974626,1065,20.185852791297883,-72.03232297133923,-524.4701242174215,2.2737367544323206e-13,-44.123851071469986,-26.216115398599605,-1.692356501269652
-0.08,17,-367.2888223530283,1064,21.16668323948313,-69.76743317861505,-318.6880724138965,1.1368683772161603e-13,-44.33939145797804,-27.009991567234856,1.5819498465978499
-0.08,18,-241.30798644852743,1065,21.30000000000002,-70.93693628868175,-191.67105015984603,3.410605131648481e-13,-45.23959821840591,-27.008492682217486,1.311154611941646
-0.08,19,505.3718592374042,1052,21.04000000000002,-73.3194923958452,557.6513516332494,5.684341886080802e-14,-44.726426420361705,-27.928076120070795,-0.6649898554126957
-0.08,20,-191.91372687936288,1060,21.200000000000017,-72.43248507923781,-140.68124180012512,2.842170943040401e-14,-44.90037777840564,-26.30990669407577,-1.222200606756408
-0.08,21,-370.8486364067247,1100,22.000000000000014,-73.3319862507903,-319.51665015593477,3.410605131648481e-13,-47.41843632121743,-25.62276415976486,-0.2907857698080183
-0.08,22,-381.45318136264154,1061,21.220000000000017,-69.93870699588808,-332.7344743667529,5.684341886080801e-13,-44.34366808296088,-28.39991441614492,2.8048755032177173
-0.08,23,127.77417493688594,1044,18.606162658911323,-63.83899707833493,173.00700935630934,1.9895196601282805e-13,-40.91146325762189,-23.208529586516555,0.2809957658035269
-0.08,24,199.32236567315476,1052,19.78367247882243,-65.17643008671953,244.71512328105155,3.126388037344441e-13,-43.79551578823755,-21.88811109328634,0.5071967948043663
-0.08,25,-317.227550811556,1111,22.22000000000002,-75.49945497059238,-263.9480958409642,5.684341886080801e-13,-48.19063065839233,-25.740399689420503,-1.568424622779561
-0.08,26,155.07398011168718,982,18.35776627677224,-61.39303614351503,198.10924997842943,5.400124791776761e-13,-38.17998765872849,-22.611835462807303,-0.6012130219792368
-0.08,27,383.3180778565724,1131,22.62000000000002,-75.6703668368456,436.36844469341753,4.547473508864641e-13,-49.04884117473031,-28.313828390963195,1.6923027288479142
-0.08,28,363.9502159073852,1040,20.80000000000002,-72.91489212521226,416.06510803259744,0.0,-45.547913443357,-27.28489290374265,-0.08208577811262052
-0.08,29,-239.5546637895549,1086,21.72000000000002,-74.75474162791386,-186.51992216164146,3.979039320256561e-13,-47.68700080564369,-27.635610563945704,0.5678697416755398
-0.0599999999999999,0,-159.59498296275768,993,19.859999999999996,-55.23320881720669,-124.2217741455508,1.9895196601282805e-13,-33.39090758966264,-20.248171039218448,-1.5941301883256058
-0.0599999999999999,1,397.9341369398848,975,19.5,-53.87032059409382,432.30445753397896,3.410605131648481e-13,-34.99746679016116,-19.65986604002792,0.7870122360952647
-0.0599999999999999,2,280.81738568122694,960,19.20000000000001,-55.03115277200901,316.64853845323603,1.1368683772161603e-13,-34.6113054689157,-20.466503903483975,0.046656600390677205
-0.0599999999999999,3,264.0177607736149,937,18.55843315341759,-50.28771784280565,295.7470454630029,5.684341886080802e-14,-32.73737176222294,-18.27525349192684,0.7249074113441344
-0.0599999999999999,4,212.66191537151735,944,18.487901285593914,-48.26765075003319,242.44166483595654,8.526512829121202e-14,-33.38573818217078,-15.89448300629944,1.0125704384370315
-0.0599999999999999,5,-364.3788661628344,923,17.451342342476103,-46.649840154181426,-335.18036835112935,2.8421709430404007e-13,-29.838482967290616,-16.841334392627754,0.02997720573694468
-0.0599999999999999,6,281.2226014995626,981,19.326657861703573,-50.30219127803459,312.198134915894,3.979039320256561e-13,-32.28193120871531,-19.597087485679488,1.5768274163602016
-0.0599999999999999,7,-217.25244371119877,1015,20.299999999999997,-57.021377818030636,-180.5310658931676,5.115907697472721e-13,-38.51930862076986,-19.47972066043386,0.9776514631730912
-0.0599999999999999,8,192.42848622481483,967,18.74325322956137,-50.15561496286459,223.8408479581178,2.5579538487363607e-13,-30.73263878382091,-18.270754464454463,-1.1522217145892215
-0.0599999999999999,9,125.57464950519852,939,18.188733947352063,-52.235429642138975,159.6213451999855,8.526512829121202e-14,-31.910962433597685,-20.196163479431487,-0.1283037291098006
-0.0599999999999999,10,-203.6326075959416,1023,20.46,-56.4401134301623,-167.65249416577865,6.536993168992922e-13,-35.315422666589306,-21.563163102530886,0.4384723389578965
-0.0599999999999999,11,-390.2938506811802,963,19.095047941688232,-54.01652194366885,-355.37237667919976,2.2737367544323206e-13,-33.662259525248516,-20.363507393170604,0.009244974750265977
-0.0599999999999999,12,-374.925883158651,864,15.625406567591957,-41.232024321510195,-349.31926540473285,5.684341886080802e-14,-26.964914830186807,-14.977698389054726,0.7105888977313454
-0.0599999999999999,13,195.2101435487493,962,18.66565222962271,-53.81927838792441,230.363769707051,0.0,-33.84167857603761,-20.88940012502824,0.9118003131414302
-0.0599999999999999,14,-190.4026344199076,973,19.46,-52.6006704480206,-157.2619639718871,1.1368683772161603e-13,-33.48729868362334,-20.29353944783923,1.180167683441963
-0.0599999999999999,15,227.90709768561769,863,16.291097720337287,-44.28085294101659,255.89685290629643,5.684341886080801e-13,-26.914477637665833,-16.660020304458143,-0.7063549988926134
-0.0599999999999999,16,-446.2527954258646,958,18.40444405929665,-53.534647494990054,-411.12259199017114,5.684341886080802e-14,-33.094974206981796,-18.877139703890478,-1.562533584117784
-0.0599999999999999,17,-281.6974199035075,973,19.373527394942347,-52.44437328265627,-248.62657401579318,3.979039320256561e-13,-33.295488288375736,-20.20958405599353,1.0606990617129906
